SourceID,Model,OA,OAS,Index
6a4536972baed18e74d416fd,Claude Opus 4.6,1,bronze,7
6a4536972baed18e74d416fd,Ground Truth,1,bronze,7
6a4536972baed18e74d416fd,Claude Opus 4.6,0,closed,33
6a4536972baed18e74d416fd,Ground Truth,1,hybrid,33
6a4536972baed18e74d416fd,Claude Opus 4.6,0,closed,9
6a4536972baed18e74d416fd,Ground Truth,1,green,9
6a4536972baed18e74d416fd,Claude Opus 4.6,0,closed,4
6a4536972baed18e74d416fd,Ground Truth,1,green,4
6a4536972baed18e74d416fd,Claude Opus 4.6,0,closed,28
6a4536972baed18e74d416fd,Ground Truth,1,green,28
6a4536972baed18e74d416fd,Claude Opus 4.6,1,bronze,21
6a4536972baed18e74d416fd,Ground Truth,0,closed,21
6a4536972baed18e74d416fd,Claude Opus 4.6,1,bronze,25
6a4536972baed18e74d416fd,Ground Truth,1,hybrid,25
6a4536972baed18e74d416fd,Claude Opus 4.6,1,green,24
6a4536972baed18e74d416fd,Ground Truth,1,green,24
6a4536972baed18e74d416fd,Claude Opus 4.6,0,closed,2
6a4536972baed18e74d416fd,Ground Truth,0,closed,2
6a4536972baed18e74d416fd,Claude Opus 4.6,1,green,42
6a4536972baed18e74d416fd,Ground Truth,0,closed,42
6a4536972baed18e74d416fd,Claude Opus 4.6,1,green,10
6a4536972baed18e74d416fd,Ground Truth,1,green,10
6a4536972baed18e74d416fd,Claude Opus 4.6,1,green,14
6a4536972baed18e74d416fd,Ground Truth,1,gold,14
6a4536972baed18e74d416fd,Claude Opus 4.6,1,green,40
6a4536972baed18e74d416fd,Ground Truth,1,bronze,40
6a4536972baed18e74d416fd,Claude Opus 4.6,1,bronze,23
6a4536972baed18e74d416fd,Ground Truth,1,bronze,23
6a4536972baed18e74d416fd,Claude Opus 4.6,1,hybrid,26
6a4536972baed18e74d416fd,Ground Truth,0,closed,26
6a45379f2baed18e74d41a77,Claude Opus 4.6,1,green,29
6a45379f2baed18e74d41a77,Ground Truth,1,green,29
6a45379f2baed18e74d41a77,Claude Opus 4.6,0,closed,1
6a45379f2baed18e74d41a77,Ground Truth,1,bronze,1
6a45379f2baed18e74d41a77,Claude Opus 4.6,1,green,25
6a45379f2baed18e74d41a77,Ground Truth,0,closed,25
6a45379f2baed18e74d41a77,Claude Opus 4.6,1,gold,46
6a45379f2baed18e74d41a77,Ground Truth,1,bronze,46
6a45379f2baed18e74d41a77,Claude Opus 4.6,0,closed,13
6a45379f2baed18e74d41a77,Ground Truth,0,closed,13
6a45379f2baed18e74d41a77,Claude Opus 4.6,0,closed,49
6a45379f2baed18e74d41a77,Ground Truth,1,gold,49
6a45379f2baed18e74d41a77,Claude Opus 4.6,1,green,17
6a45379f2baed18e74d41a77,Ground Truth,0,closed,17
6a45379f2baed18e74d41a77,Claude Opus 4.6,0,closed,31
6a45379f2baed18e74d41a77,Ground Truth,0,closed,31
6a45379f2baed18e74d41a77,Claude Opus 4.6,0,closed,24
6a45379f2baed18e74d41a77,Ground Truth,1,bronze,24
6a45379f2baed18e74d41a77,Claude Opus 4.6,0,closed,18
6a45379f2baed18e74d41a77,Ground Truth,0,closed,18
6a45379f2baed18e74d41a77,Claude Opus 4.6,1,gold,40
6a45379f2baed18e74d41a77,Ground Truth,1,gold,40
6a45379f2baed18e74d41a77,Claude Opus 4.6,0,closed,4
6a45379f2baed18e74d41a77,Ground Truth,1,green,4
6a45379f2baed18e74d41a77,Claude Opus 4.6,1,green,36
6a45379f2baed18e74d41a77,Ground Truth,1,gold,36
6a45379f2baed18e74d41a77,Claude Opus 4.6,1,green,55
6a45379f2baed18e74d41a77,Ground Truth,0,closed,55
6a45379f2baed18e74d41a77,Claude Opus 4.6,1,bronze,22
